Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
DNA repair [GO:0006281],18,5,0.9162599668496554,0.9840381013837395,0.278,F4HW51/Q9FNY7/Q9LXD7/Q9SZI2/F4I2H2,BP
maintenance of rDNA [GO:0043007],1,1,0.8650000000000001,0.9605665722379605,1,F4HW51,BP
pollen development [GO:0009555],27,4,0.4950411365393319,0.9605665722379605,0.148,F4HW51/Q2LAE1/Q8GV50/O80483,BP
heterochromatin formation [GO:0031507],1,1,0.8650000000000001,0.9605665722379605,1,F4HZD1,BP
negative regulation of DNA methylation-dependent heterochromatin formation [GO:0090310],1,1,0.8650000000000001,0.9605665722379605,1,F4HZD1,BP
positive regulation of gene expression [GO:0010628],2,1,0.748166583291646,0.9605665722379605,0.5,F4HZD1,BP
proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],5,2,0.8623560761549001,0.9605665722379605,0.4,F4HZD1/Q84L31,BP
regulation of regulatory ncRNA processing [GO:0070920],1,1,0.8650000000000001,0.9605665722379605,1,F4HZD1,BP
defense response [GO:0006952],51,7,0.4556173054252016,0.9605665722379605,0.137,F4IHS2/F4KHI3/Q8GXW1/Q93WF6/A0A1P8B554/Q84M95/F4J078,BP
epigenetic regulation of gene expression [GO:0040029],5,2,0.8623560761549001,0.9605665722379605,0.4,F4IHS2/Q2LAE1,BP
ethylene-activated signaling pathway [GO:0009873],25,3,0.32353542333785623,0.9605665722379605,0.12,F4IHS2/O81417/Q6J9S1,BP
flower development [GO:0009908],24,6,0.9065270019853207,0.9821783359878924,0.25,F4IHS2/Q38895/Q8GXW1/Q9FRV4/Q9SAK5/Q93ZE9,BP
organ boundary specification between lateral organs and the meristem [GO:0010199],3,2,0.9503737679650636,0.9883966754829437,0.667,F4IHS2/O82268,BP
regulation of defense response to fungus [GO:1900150],7,2,0.7583161086152239,0.9605665722379605,0.286,F4IHS2/Q93WF6,BP
regulation of DNA-templated transcription [GO:0006355],82,15,0.8696917870903443,0.9630485325972175,0.183,F4IHS2/Q8GZ13/Q9C690/Q9LXD7/Q9SAK5/O23077/Q700W2/Q9FG05/Q9LE42/Q9LUZ4/Q9M0R0/Q9SMM8/Q9LQM3/Q9M160/Q9STJ7,BP
regulation of ethylene-activated signaling pathway [GO:0010104],2,1,0.748166583291646,0.9605665722379605,0.5,F4IHS2,BP
regulation of jasmonic acid mediated signaling pathway [GO:2000022],5,2,0.8623560761549001,0.9605665722379605,0.4,F4IHS2/Q9C9A6,BP
response to wounding [GO:0009611],24,3,0.351628853943901,0.9605665722379605,0.125,F4IHS2/Q84P21/Q93WF6,BP
mRNA processing [GO:0006397],23,4,0.6223782183396068,0.9605665722379605,0.174,F4JCU0/Q949S9/Q9LNC5/Q9LFN6,BP
"mRNA splicing, via spliceosome [GO:0000398]",11,4,0.9505753741251781,0.9883966754829437,0.364,F4JCU0/O23212/Q9SHY8/Q9FE62,BP
regulation of RNA splicing [GO:0043484],3,1,0.6470629909549369,0.9605665722379605,0.333,F4JCU0,BP
rRNA processing [GO:0006364],9,1,0.27034677094447535,0.9605665722379605,0.111,F4JXF1,BP
tRNA processing [GO:0008033],1,1,0.8650000000000001,0.9605665722379605,1,F4JXF1,BP
seedling development [GO:0090351],5,1,0.4838838060609094,0.9605665722379605,0.2,F4JZG9,BP
thylakoid membrane organization [GO:0010027],7,1,0.3617423827483801,0.9605665722379605,0.143,F4JZG9,BP
regulation of root meristem growth [GO:0010082],6,1,0.4183957721579292,0.9605665722379605,0.167,F4KHI3,BP
signal transduction [GO:0007165],17,4,0.8123011357146654,0.9605665722379605,0.235,F4KHI3/P82628/P82637/P82643,BP
defense response to fungus [GO:0050832],57,12,0.9270199752966033,0.9883966754829437,0.211,O04529/Q1JPL7/Q949S9/Q9ZUJ5/P82628/P82637/P82643/P82762/Q2V392/Q2V468/Q56XB0/Q94JR6,BP
developmental vegetative growth [GO:0080186],2,1,0.748166583291646,0.9605665722379605,0.5,O04529,BP
negative regulation of leaf senescence [GO:1900056],3,2,0.9503737679650636,0.9883966754829437,0.667,O04529/Q9LSD5,BP
proteolysis [GO:0006508],44,4,0.1347306872068037,0.9605665722379605,0.091,O04529/Q9ZUJ5/Q8S9J6/Q93VG8,BP
"regulation of photoperiodism, flowering [GO:2000028]",14,4,0.8915462573716044,0.9817026204765982,0.286,O04529/Q93WF6/Q9C690/Q9M0R0,BP
response to cadmium ion [GO:0046686],6,2,0.8113239755758107,0.9605665722379605,0.333,O04529/O82089,BP
response to jasmonic acid [GO:0009753],23,4,0.6223782183396068,0.9605665722379605,0.174,O04529/Q84P21/Q9MA55/Q9FWW6,BP
response to salt stress [GO:0009651],38,4,0.22422017652907422,0.9605665722379605,0.105,O04529/Q8GWH3/Q9SLD2/Q9SCM4,BP
defense response to bacterium [GO:0042742],37,5,0.4270824667814057,0.9605665722379605,0.135,O22446/P27323/Q949S9/O65483/Q9FM96,BP
DNA-mediated transformation [GO:0009294],3,1,0.6470629909549369,0.9605665722379605,0.333,O22446,BP
jasmonic acid and ethylene-dependent systemic resistance [GO:0009861],1,1,0.8650000000000001,0.9605665722379605,1,O22446,BP
negative regulation of DNA-templated transcription [GO:0045892],19,3,0.5163563706885712,0.9605665722379605,0.158,O22446/Q0WX00/Q9SMM8,BP
negative regulation of response to salt stress [GO:1901001],4,1,0.5595782600797076,0.9605665722379605,0.25,O22446,BP
positive regulation of stem cell population maintenance [GO:1902459],2,1,0.748166583291646,0.9605665722379605,0.5,O22446,BP
regulation of multicellular organismal development [GO:2000026],1,1,0.8650000000000001,0.9605665722379605,1,O22446,BP
abscisic acid-activated signaling pathway [GO:0009738],20,3,0.48041675906857106,0.9605665722379605,0.15,O24646/Q8H1R0/Q9SSL1,BP
gibberellic acid mediated signaling pathway [GO:0009740],8,4,0.9854236556959851,0.9955826624557375,0.5,O24646/Q8GXW1/Q9FG05/O80641,BP
positive gravitropism [GO:0009958],5,2,0.8623560761549001,0.9605665722379605,0.4,O24646/Q8L796,BP
positive regulation of anthocyanin metabolic process [GO:0031539],1,1,0.8650000000000001,0.9605665722379605,1,O24646,BP
positive regulation of circadian rhythm [GO:0042753],2,1,0.748166583291646,0.9605665722379605,0.5,O24646,BP
positive regulation of flavonoid biosynthetic process [GO:0009963],1,1,0.8650000000000001,0.9605665722379605,1,O24646,BP
positive regulation of transcription by RNA polymerase II [GO:0045944],8,1,0.31273563746887056,0.9605665722379605,0.125,O24646,BP
red or far-red light signaling pathway [GO:0010017],3,2,0.9503737679650636,0.9883966754829437,0.667,O24646/Q8W2F3,BP
"red, far-red light phototransduction [GO:0009585]",8,2,0.7047895997049475,0.9605665722379605,0.25,O24646/Q8W2F3,BP
regulation of abscisic acid-activated signaling pathway [GO:0009787],7,1,0.3617423827483801,0.9605665722379605,0.143,O24646,BP
regulation of photomorphogenesis [GO:0010099],1,1,0.8650000000000001,0.9605665722379605,1,O24646,BP
response to abscisic acid [GO:0009737],43,8,0.7844968465948787,0.9605665722379605,0.186,O24646/Q8GXW1/Q93WF6/Q9C690/Q9SLD2/Q39084/Q9FNN9/Q9SCM4,BP
response to cold [GO:0009409],45,7,0.59375422347089,0.9605665722379605,0.156,O24646/P92947/Q8W2F3/Q93WF6/Q93Z16/Q9SLD2/Q39084,BP
response to far red light [GO:0010218],7,1,0.3617423827483801,0.9605665722379605,0.143,O24646,BP
response to red light [GO:0010114],3,1,0.6470629909549369,0.9605665722379605,0.333,O24646,BP
response to UV-B [GO:0010224],9,2,0.6518465696640312,0.9605665722379605,0.222,O24646/Q9LXD7,BP
[2Fe-2S] cluster assembly [GO:0044571],1,1,0.8650000000000001,0.9605665722379605,1,O49543,BP
iron-sulfur cluster assembly [GO:0016226],6,1,0.4183957721579292,0.9605665722379605,0.167,O49543,BP
chromatin organization [GO:0006325],10,2,0.60030290022377,0.9605665722379605,0.2,O49596/Q0WX00,BP
cytidine catabolic process [GO:0006216],1,1,0.8650000000000001,0.9605665722379605,1,O65896,BP
cytidine deamination [GO:0009972],2,1,0.748166583291646,0.9605665722379605,0.5,O65896,BP
cellular response to phosphate starvation [GO:0016036],4,2,0.9095171835806248,0.9821783359878924,0.5,O81417/Q9SIV9,BP
heat acclimation [GO:0010286],4,1,0.5595782600797076,0.9605665722379605,0.25,O81417,BP
plant-type cell wall biogenesis [GO:0009832],4,2,0.9095171835806248,0.9821783359878924,0.5,O81417/Q0WPN7,BP
response to ethylene [GO:0009723],16,8,0.9995180729626335,0.9995180729626335,0.5,O81417/Q8W2F3/Q93WF6/Q9MA55/Q9SM02/A0A1P8B554/Q6J9S1/Q8S8C6,BP
response to low humidity [GO:0090547],2,1,0.748166583291646,0.9605665722379605,0.5,O81417,BP
root hair cell development [GO:0080147],5,2,0.8623560761549001,0.9605665722379605,0.4,O81417/Q9LVP9,BP
seed development [GO:0048316],9,2,0.6518465696640312,0.9605665722379605,0.222,O81417/Q7XJU0,BP
unidimensional cell growth [GO:0009826],13,2,0.4590568369018888,0.9605665722379605,0.154,O81417/Q7DMA9,BP
maintenance of shoot apical meristem identity [GO:0010492],4,3,0.9912303523495023,0.9969422297083055,0.75,O82268/Q0WX00/Q8VZS9,BP
mRNA transcription [GO:0009299],1,1,0.8650000000000001,0.9605665722379605,1,O82268,BP
petal development [GO:0048441],2,1,0.748166583291646,0.9605665722379605,0.5,O82268,BP
post-embryonic plant morphogenesis [GO:0090698],1,1,0.8650000000000001,0.9605665722379605,1,O82268,BP
specification of petal number [GO:0048834],1,1,0.8650000000000001,0.9605665722379605,1,O82268,BP
cellular response to heat [GO:0034605],6,1,0.4183957721579292,0.9605665722379605,0.167,P27323,BP
chaperone-mediated protein folding [GO:0061077],4,1,0.5595782600797076,0.9605665722379605,0.25,P27323,BP
innate immune response [GO:0045087],14,2,0.41733221495849193,0.9605665722379605,0.143,P27323/Q949S9,BP
protein folding [GO:0006457],6,1,0.4183957721579292,0.9605665722379605,0.167,P27323,BP
protein stabilization [GO:0050821],1,1,0.8650000000000001,0.9605665722379605,1,P27323,BP
coenzyme A metabolic process [GO:0015936],1,1,0.8650000000000001,0.9605665722379605,1,P43256,BP
isoprenoid biosynthetic process [GO:0008299],5,3,0.9802588447192121,0.9955826624557375,0.6,P43256/Q8S4Y1/Q8S948,BP
sterol biosynthetic process [GO:0016126],8,2,0.7047895997049475,0.9605665722379605,0.25,P43256/Q9SM02,BP
triterpenoid biosynthetic process [GO:0016104],2,1,0.748166583291646,0.9605665722379605,0.5,P43256,BP
protein autophosphorylation [GO:0046777],11,1,0.20197897665327158,0.9605665722379605,0.091,Q06850,BP
protein phosphorylation [GO:0006468],87,10,0.24120907609890763,0.9605665722379605,0.115,Q06850/F4KA50/O23081/O65483/Q6R2K2/Q84M95/Q94C77/Q9FID9/Q9LPZ3/Q3EBR4,BP
regulation of leaf senescence [GO:1900055],3,3,0.9975632410799995,0.9995180729626335,1,Q06850/Q93WF6/F4HRS2,BP
anastral spindle assembly involved in male meiosis [GO:0009971],1,1,0.8650000000000001,0.9605665722379605,1,Q07970,BP
cell division [GO:0051301],32,3,0.1722035340199578,0.9605665722379605,0.094,Q07970/Q8VZS9/Q93Y31,BP
microtubule-based movement [GO:0007018],12,5,0.9847422255729152,0.9955826624557375,0.417,Q07970/Q0WN69/Q8W5R6/Q9LZU5/Q9SJU0,BP
carbon utilization [GO:0015976],1,1,0.8650000000000001,0.9605665722379605,1,Q0WPN7,BP
homogalacturonan metabolic process [GO:0010394],1,1,0.8650000000000001,0.9605665722379605,1,Q0WPN7,BP
leaf morphogenesis [GO:0009965],7,1,0.3617423827483801,0.9605665722379605,0.143,Q0WPN7,BP
methylation [GO:0032259],21,4,0.6877048220485743,0.9605665722379605,0.19,Q0WPN7/Q2LAE1/Q3EC77/Q8GYW9,BP
pectin biosynthetic process [GO:0045489],3,1,0.6470629909549369,0.9605665722379605,0.333,Q0WPN7,BP
pectin metabolic process [GO:0045488],1,1,0.8650000000000001,0.9605665722379605,1,Q0WPN7,BP
plant-type cell wall organization [GO:0009664],6,3,0.964420277313079,0.9948756544913868,0.5,Q0WPN7/Q9LVP9/Q9LZN0,BP
positive regulation of developmental growth [GO:0048639],1,1,0.8650000000000001,0.9605665722379605,1,Q0WPN7,BP
positive regulation of photosynthesis [GO:1905157],1,1,0.8650000000000001,0.9605665722379605,1,Q0WPN7,BP
positive regulation of respiratory gaseous exchange [GO:1903942],1,1,0.8650000000000001,0.9605665722379605,1,Q0WPN7,BP
positive regulation of unidimensional cell growth [GO:0051512],1,1,0.8650000000000001,0.9605665722379605,1,Q0WPN7,BP
autophagy [GO:0006914],8,1,0.31273563746887056,0.9605665722379605,0.125,Q0WQ75,BP
endocytic recycling [GO:0032456],1,1,0.8650000000000001,0.9605665722379605,1,Q0WQ75,BP
Golgi organization [GO:0007030],4,1,0.5595782600797076,0.9605665722379605,0.25,Q0WQ75,BP
Golgi vesicle transport [GO:0048193],3,2,0.9503737679650636,0.9883966754829437,0.667,Q0WQ75/Q8S2T0,BP
leaf vascular tissue pattern formation [GO:0010305],7,4,0.9918557897608141,0.9969422297083055,0.571,Q0WQ75/Q9LFU0/Q8W4K5/Q9SIH2,BP
lipid transport [GO:0006869],9,3,0.8900902048481534,0.9817026204765982,0.333,Q0WQ75/Q9MA55/Q8L751,BP
lysosomal transport [GO:0007041],1,1,0.8650000000000001,0.9605665722379605,1,Q0WQ75,BP
protein transport [GO:0015031],60,7,0.2793510830659425,0.9605665722379605,0.117,Q0WQ75/Q8VY92/Q93Y31/Q8S8D3/Q93ZE9/Q9FE79/O49513,BP
"retrograde transport, endosome to Golgi [GO:0042147]",2,1,0.748166583291646,0.9605665722379605,0.5,Q0WQ75,BP
vacuolar transport [GO:0007034],6,1,0.4183957721579292,0.9605665722379605,0.167,Q0WQ75,BP
vesicle-mediated transport [GO:0016192],19,3,0.5163563706885712,0.9605665722379605,0.158,Q0WQ75/Q8VY92/Q9SIY7,BP
cell fate determination [GO:0001709],1,1,0.8650000000000001,0.9605665722379605,1,Q0WX00,BP
maintenance of floral meristem identity [GO:0010076],1,1,0.8650000000000001,0.9605665722379605,1,Q0WX00,BP
maintenance of inflorescence meristem identity [GO:0010077],1,1,0.8650000000000001,0.9605665722379605,1,Q0WX00,BP
protein ubiquitination [GO:0016567],68,9,0.4185106993915937,0.9605665722379605,0.132,Q0WX00/Q8VZS9/Q9LFU0/Q500V2/Q9C9A6/Q8GW10/Q8GY87/Q9C7R6/Q9LYW0,BP
cell wall modification [GO:0042545],7,1,0.3617423827483801,0.9605665722379605,0.143,Q1JPL7,BP
killing of cells of another organism [GO:0031640],31,9,0.9825272279790311,0.9955826624557375,0.29,Q1JPL7/P82628/P82637/P82643/P82762/Q2V392/Q2V468/Q56XB0/Q94JR6,BP
negative regulation of translation [GO:0017148],1,1,0.8650000000000001,0.9605665722379605,1,Q1JPL7,BP
pectin catabolic process [GO:0045490],12,3,0.786587283749616,0.9605665722379605,0.25,Q1JPL7/Q9LFP5/Q9SVQ6,BP
response to bacterium [GO:0009617],16,5,0.9465810616201283,0.9883966754829437,0.312,Q1JPL7/Q84P21/A0A1P8B554/F4J270/Q39066,BP
anther development [GO:0048653],6,2,0.8113239755758107,0.9605665722379605,0.333,Q2LAE1/Q700W2,BP
carotenoid metabolic process [GO:0016116],1,1,0.8650000000000001,0.9605665722379605,1,Q2LAE1,BP
embryo sac development [GO:0009553],10,1,0.23368497880233163,0.9605665722379605,0.1,Q2LAE1,BP
negative regulation of flower development [GO:0009910],6,1,0.4183957721579292,0.9605665722379605,0.167,Q2LAE1,BP
plant ovule development [GO:0048481],6,1,0.4183957721579292,0.9605665722379605,0.167,Q2LAE1,BP
regulation of plant-type hypersensitive response [GO:0010363],2,1,0.748166583291646,0.9605665722379605,0.5,Q2LAE1,BP
regulation of programmed cell death [GO:0043067],1,1,0.8650000000000001,0.9605665722379605,1,Q2LAE1,BP
response to nitrate starvation [GO:0090548],1,1,0.8650000000000001,0.9605665722379605,1,Q2LAE1,BP
secondary shoot formation [GO:0010223],3,2,0.9503737679650636,0.9883966754829437,0.667,Q2LAE1/Q9FRV4,BP
cell differentiation [GO:0030154],16,4,0.8405515536310977,0.9605665722379605,0.25,Q38895/Q7DMA9/Q8GXW1/Q9SZI2,BP
formation of plant organ boundary [GO:0090691],2,2,0.9818334167083542,0.9955826624557375,1,Q38895/Q9FRV4,BP
hormone-mediated signaling pathway [GO:0009755],1,1,0.8650000000000001,0.9605665722379605,1,Q38895,BP
regulation of cell population proliferation [GO:0042127],5,1,0.4838838060609094,0.9605665722379605,0.2,Q38895,BP
regulation of cell size [GO:0008361],6,3,0.964420277313079,0.9948756544913868,0.5,Q38895/Q8VZS9/Q9LSD5,BP
specification of floral organ identity [GO:0010093],1,1,0.8650000000000001,0.9605665722379605,1,Q38895,BP
proton export across plasma membrane [GO:0120029],3,2,0.9503737679650636,0.9883966754829437,0.667,Q42556/Q43128,BP
proanthocyanidin biosynthetic process [GO:0010023],2,1,0.748166583291646,0.9605665722379605,0.5,Q43128,BP
seed coat development [GO:0010214],3,1,0.6470629909549369,0.9605665722379605,0.333,Q43128,BP
vacuolar acidification [GO:0007035],1,1,0.8650000000000001,0.9605665722379605,1,Q43128,BP
vacuole organization [GO:0007033],4,1,0.5595782600797076,0.9605665722379605,0.25,Q43128,BP
cotyledon boundary formation [GO:0090451],1,1,0.8650000000000001,0.9605665722379605,1,Q6X7J5,BP
cotyledon development [GO:0048825],3,1,0.6470629909549369,0.9605665722379605,0.333,Q6X7J5,BP
embryo development ending in seed dormancy [GO:0009793],28,5,0.6758268593553525,0.9605665722379605,0.179,Q6X7J5/Q7DMA9/Q9LNC5/Q9SLD2/Q9M160,BP
establishment of cell polarity [GO:0030010],2,2,0.9818334167083542,0.9955826624557375,1,Q6X7J5/Q7DMA9,BP
positive regulation of cell population proliferation [GO:0008284],6,2,0.8113239755758107,0.9605665722379605,0.333,Q6X7J5/Q9SHY8,BP
regulation of developmental process [GO:0050793],2,2,0.9818334167083542,0.9955826624557375,1,Q6X7J5/Q8S8C6,BP
auxin-activated signaling pathway [GO:0009734],39,3,0.08576773290066697,0.9605665722379605,0.077,Q7DMA9/Q8W4K5/Q9FJF6,BP
cytokinin-activated signaling pathway [GO:0009736],11,2,0.5507450002929322,0.9605665722379605,0.182,Q7DMA9/Q9FG05,BP
embryonic pattern specification [GO:0009880],1,1,0.8650000000000001,0.9605665722379605,1,Q7DMA9,BP
lateral root development [GO:0048527],9,2,0.6518465696640312,0.9605665722379605,0.222,Q7DMA9/Q9FRV4,BP
response to cytokinin [GO:0009735],9,2,0.6518465696640312,0.9605665722379605,0.222,Q7DMA9/Q9FG05,BP
root development [GO:0048364],22,3,0.41283584855923916,0.9605665722379605,0.136,Q7DMA9/Q7XJU0/Q93WF6,BP
very long-chain fatty acid biosynthetic process [GO:0042761],6,1,0.4183957721579292,0.9605665722379605,0.167,Q7DMA9,BP
cellular response to auxin stimulus [GO:0071365],6,1,0.4183957721579292,0.9605665722379605,0.167,Q7XJU0,BP
male meiotic nuclear division [GO:0007140],1,1,0.8650000000000001,0.9605665722379605,1,Q7XJU0,BP
meiotic cell cycle [GO:0051321],3,1,0.6470629909549369,0.9605665722379605,0.333,Q7XJU0,BP
metaxylem development [GO:0090058],2,1,0.748166583291646,0.9605665722379605,0.5,Q7XJU0,BP
xylem development [GO:0010089],7,2,0.7583161086152239,0.9605665722379605,0.286,Q7XJU0/Q9SAK5,BP
circadian rhythm [GO:0007623],11,1,0.20197897665327158,0.9605665722379605,0.091,Q84JW1,BP
peroxisome fission [GO:0016559],2,1,0.748166583291646,0.9605665722379605,0.5,Q84JW1,BP
peroxisome organization [GO:0007031],1,1,0.8650000000000001,0.9605665722379605,1,Q84JW1,BP
regulation of peroxisome size [GO:0044375],1,1,0.8650000000000001,0.9605665722379605,1,Q84JW1,BP
