Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
Metabolic intermediate biosynthesis,4,2,0.9095171835806248,0.9518203083983284,0.5,P43256/Q8S4Y1,Pathway Enrichment
(R)-mevalonate biosynthesis,2,2,0.9818334167083542,0.9818334167083542,1,P43256/Q8S4Y1,Pathway Enrichment
(R)-mevalonate from acetyl-CoA: step 3/3,1,1,0.8650000000000001,0.9493902439024392,1,P43256,Pathway Enrichment
Protein modification,75,11,0.5664840962870811,0.9493902439024392,0.147,Q0WX00/Q8VZS9/Q93Z16/Q9LFU0/Q500V2/Q9C9A6/Q6IDS6/Q8GW10/Q8GY87/Q9C7R6/Q9LYW0,Pathway Enrichment
protein ubiquitination,68,10,0.5620512624920637,0.9493902439024392,0.147,Q0WX00/Q8VZS9/Q9LFU0/Q500V2/Q9C9A6/Q6IDS6/Q8GW10/Q8GY87/Q9C7R6/Q9LYW0,Pathway Enrichment
Glycan metabolism,17,4,0.8123011357146654,0.9493902439024392,0.235,Q1JPL7/Q9FM96/Q9LFP5/Q9SVQ6,Pathway Enrichment
pectin degradation,12,3,0.786587283749616,0.9493902439024392,0.25,Q1JPL7/Q9LFP5/Q9SVQ6,Pathway Enrichment
2-dehydro-3-deoxy-D-gluconate from pectin: step 1/5,6,1,0.4183957721579292,0.9493902439024392,0.167,Q1JPL7,Pathway Enrichment
Cofactor biosynthesis,8,1,0.31273563746887056,0.9493902439024392,0.125,Q8LPN3,Pathway Enrichment
tetrahydrofolate biosynthesis,3,1,0.6470629909549369,0.9493902439024392,0.333,Q8LPN3,Pathway Enrichment
4-aminobenzoate from chorismate: step 1/2,1,1,0.8650000000000001,0.9493902439024392,1,Q8LPN3,Pathway Enrichment
(R)-mevalonate from acetyl-CoA: step 1/3,1,1,0.8650000000000001,0.9493902439024392,1,Q8S4Y1,Pathway Enrichment
Pyrimidine metabolism,3,2,0.9503737679650636,0.9719731717824514,0.667,Q8VYB2/Q9S750,Pathway Enrichment
UMP biosynthesis via salvage pathway,1,1,0.8650000000000001,0.9493902439024392,1,Q8VYB2,Pathway Enrichment
UMP from uracil: step 1/1,1,1,0.8650000000000001,0.9493902439024392,1,Q8VYB2,Pathway Enrichment
CTP biosynthesis via salvage pathway,1,1,0.8650000000000001,0.9493902439024392,1,Q8VYB2,Pathway Enrichment
CTP from cytidine: step 1/3,1,1,0.8650000000000001,0.9493902439024392,1,Q8VYB2,Pathway Enrichment
UMP from uridine: step 1/1,1,1,0.8650000000000001,0.9493902439024392,1,Q8VYB2,Pathway Enrichment
protein glycosylation,6,1,0.4183957721579292,0.9493902439024392,0.167,Q93Z16,Pathway Enrichment
Purine metabolism,6,2,0.8113239755758107,0.9493902439024392,0.333,Q9LVM5/Q9S750,Pathway Enrichment
urate degradation,1,1,0.8650000000000001,0.9493902439024392,1,Q9LVM5,Pathway Enrichment
(S)-allantoin from urate: step 2/3,1,1,0.8650000000000001,0.9493902439024392,1,Q9LVM5,Pathway Enrichment
(S)-allantoin from urate: step 3/3,1,1,0.8650000000000001,0.9493902439024392,1,Q9LVM5,Pathway Enrichment
Lipid metabolism,12,3,0.786587283749616,0.9493902439024392,0.25,Q9M2U2/Q84VY3/Q9SUY9,Pathway Enrichment
fatty acid biosynthesis,7,2,0.7583161086152239,0.9493902439024392,0.286,Q9M2U2/Q9SUY9,Pathway Enrichment
Glycerolipid metabolism,2,1,0.748166583291646,0.9493902439024392,0.5,Q9SLD2,Pathway Enrichment
triacylglycerol biosynthesis,2,1,0.748166583291646,0.9493902439024392,0.5,Q9SLD2,Pathway Enrichment
Terpene metabolism,3,1,0.6470629909549369,0.9493902439024392,0.333,Q9SM02,Pathway Enrichment
lanosterol biosynthesis,3,1,0.6470629909549369,0.9493902439024392,0.333,Q9SM02,Pathway Enrichment
lanosterol from farnesyl diphosphate: step 2/3,2,1,0.748166583291646,0.9493902439024392,0.5,Q9SM02,Pathway Enrichment
Secondary metabolite biosynthesis,7,2,0.7583161086152239,0.9493902439024392,0.286,Q84UV0/O23651,Pathway Enrichment
terpenoid biosynthesis,4,2,0.9095171835806248,0.9518203083983284,0.5,Q84UV0/O23651,Pathway Enrichment
N-glycan metabolism,1,1,0.8650000000000001,0.9493902439024392,1,Q9FM96,Pathway Enrichment
Carbohydrate degradation,8,1,0.31273563746887056,0.9493902439024392,0.125,O65595,Pathway Enrichment
glycolysis,8,1,0.31273563746887056,0.9493902439024392,0.125,O65595,Pathway Enrichment
pyruvate from D-glyceraldehyde 3-phosphate: step 5/5,1,1,0.8650000000000001,0.9493902439024392,1,O65595,Pathway Enrichment
fatty acid metabolism,3,1,0.6470629909549369,0.9493902439024392,0.333,Q84VY3,Pathway Enrichment
2-dehydro-3-deoxy-D-gluconate from pectin: step 2/5,6,2,0.8113239755758107,0.9493902439024392,0.333,Q9LFP5/Q9SVQ6,Pathway Enrichment
Glycan biosynthesis,6,2,0.8113239755758107,0.9493902439024392,0.333,Q9M1B9/Q9C8J4,Pathway Enrichment
starch biosynthesis,2,1,0.748166583291646,0.9493902439024392,0.5,Q9M1B9,Pathway Enrichment
Phospholipid metabolism,4,1,0.5595782600797076,0.9493902439024392,0.25,Q9SYC8,Pathway Enrichment
CDP-diacylglycerol biosynthesis,3,1,0.6470629909549369,0.9493902439024392,0.333,Q9SYC8,Pathway Enrichment
CDP-diacylglycerol from sn-glycerol 3-phosphate: step 2/3,3,1,0.6470629909549369,0.9493902439024392,0.333,Q9SYC8,Pathway Enrichment
sucrose biosynthesis,2,1,0.748166583291646,0.9493902439024392,0.5,Q9C8J4,Pathway Enrichment
sucrose from D-fructose 6-phosphate and UDP-alpha-D-glucose: step 2/2,1,1,0.8650000000000001,0.9493902439024392,1,Q9C8J4,Pathway Enrichment
