Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
phosphatidylethanolamine biosynthetic process [GO:0006646],1,1,0.9,0.9334459459459459,1,A4GNA8,BP
protein autoprocessing [GO:0016540],1,1,0.9,0.9334459459459459,1,A4GNA8,BP
abscisic acid-activated signaling pathway [GO:0009738],20,2,0.3904570973930197,0.9334459459459459,0.1,F4JNX3/Q9FNA4,BP
auxin-activated signaling pathway [GO:0009734],39,4,0.44205430833387227,0.9334459459459459,0.103,F4JNX3/Q9FNA4/Q9M1R4/Q9C8N7,BP
gravitropism [GO:0009630],6,2,0.8859818323810424,0.9334459459459459,0.333,F4JNX3/Q9M1R4,BP
methylation [GO:0032259],21,3,0.6484108408897422,0.9334459459459459,0.143,F4JNX3/Q84JF5/Q94F88,BP
regulation of abscisic acid-activated signaling pathway [GO:0009787],7,2,0.8505546055297721,0.9334459459459459,0.286,F4JNX3/Q9FNA4,BP
regulation of auxin mediated signaling pathway [GO:0010928],6,3,0.9843140850834832,0.9907686036741945,0.5,F4JNX3/Q9FNA4/Q9SZ06,BP
regulation of response to salt stress [GO:1901000],2,1,0.8099549774887447,0.9334459459459459,0.5,F4JNX3,BP
regulation of response to water deprivation [GO:2000070],4,3,0.9963458401416239,0.9963458401416239,0.75,F4JNX3/Q8RWS1/Q9SKD9,BP
regulation of root development [GO:2000280],6,1,0.5309974588060002,0.9334459459459459,0.167,F4JNX3,BP
response to abscisic acid [GO:0009737],43,4,0.36233087190071855,0.9334459459459459,0.093,F4JNX3/Q9FNA4/Q9ZUU4/O04036,BP
response to auxin [GO:0009733],41,2,0.07188172649291757,0.9334459459459459,0.049,F4JNX3/Q9M1R4,BP
response to cold [GO:0009409],45,7,0.8438494526518739,0.9334459459459459,0.156,F4JNX3/P42644/Q94C69/Q9MAM3/Q9ZUU4/O82359/O04036,BP
response to heat [GO:0009408],15,2,0.5485074078025258,0.9334459459459459,0.133,F4JNX3/Q9FN02,BP
response to oomycetes [GO:0002239],2,1,0.8099549774887447,0.9334459459459459,0.5,F4JNX3,BP
response to osmotic stress [GO:0006970],11,3,0.9109731199188964,0.9416456155390613,0.273,F4JNX3/O82289/Q9SRV1,BP
response to salt [GO:1902074],7,1,0.4777379343520385,0.9334459459459459,0.143,F4JNX3,BP
response to salt stress [GO:0009651],38,3,0.250953947740852,0.9334459459459459,0.079,F4JNX3/O82289/O04036,BP
root hair cell development [GO:0080147],5,1,0.5901615210685075,0.9334459459459459,0.2,F4JNX3,BP
intracellular signal transduction [GO:0035556],3,1,0.7288784031655469,0.9334459459459459,0.333,O49717,BP
protein phosphorylation [GO:0006468],87,12,0.8471371422807235,0.9334459459459459,0.138,O49717/O49840/Q38870/Q93Z30/Q944Q0/Q9LFL6/Q9M092/O04533/O81292/Q8VZJ9/Q9SLI2/Q9STK6,BP
defense response [GO:0006952],51,4,0.2328623125010716,0.9334459459459459,0.078,O49840/Q9LFL6/Q945Q1/Q9ZVF2,BP
protein import into chloroplast stroma [GO:0045037],3,1,0.7288784031655469,0.9334459459459459,0.333,O82230,BP
embryo development ending in seed dormancy [GO:0009793],28,2,0.21306708279354258,0.9334459459459459,0.071,O82289/Q38847,BP
lateral root morphogenesis [GO:0010102],3,1,0.7288784031655469,0.9334459459459459,0.333,O82289,BP
"photoperiodism, flowering [GO:0048573]",5,2,0.9187592499485226,0.9433414372381153,0.4,O82289/Q944Q0,BP
response to oxidative stress [GO:0006979],30,4,0.6476218173821695,0.9334459459459459,0.133,O82289/Q9FNA4/Q9T051/Q96519,BP
protein transport [GO:0015031],60,4,0.13349079638958483,0.9334459459459459,0.067,P31582/F4JN05/Q6NMI3/Q9FVV6,BP
vacuolar transport [GO:0007034],6,1,0.5309974588060002,0.9334459459459459,0.167,P31582,BP
cellular response to nitrogen starvation [GO:0006995],6,2,0.8859818323810424,0.9334459459459459,0.333,P42644/Q9ZVN2,BP
cellular response to phosphate starvation [GO:0016036],4,1,0.6558810668445103,0.9334459459459459,0.25,P42644,BP
cellular response to potassium ion starvation [GO:0051365],1,1,0.9,0.9334459459459459,1,P42644,BP
cold acclimation [GO:0009631],10,2,0.7361967805611884,0.9334459459459459,0.2,P42644/Q94C69,BP
ethylene-activated signaling pathway [GO:0009873],25,3,0.5364108047130551,0.9334459459459459,0.12,P42644/Q9FFG0/Q9SZ06,BP
regulation of metabolic process [GO:0019222],1,1,0.9,0.9334459459459459,1,P42644,BP
response to freezing [GO:0050826],1,1,0.9,0.9334459459459459,1,P42644,BP
defense response to virus [GO:0051607],7,1,0.4777379343520385,0.9334459459459459,0.143,P84634,BP
DNA-templated transcription termination [GO:0006353],2,1,0.8099549774887447,0.9334459459459459,0.5,P84634,BP
lsiRNA processing [GO:0010599],1,1,0.9,0.9334459459459459,1,P84634,BP
maintenance of shoot apical meristem identity [GO:0010492],4,1,0.6558810668445103,0.9334459459459459,0.25,P84634,BP
polarity specification of adaxial/abaxial axis [GO:0009944],1,1,0.9,0.9334459459459459,1,P84634,BP
reproductive structure development [GO:0048608],3,1,0.7288784031655469,0.9334459459459459,0.333,P84634,BP
RNAi-mediated antiviral immune response [GO:0009616],2,1,0.8099549774887447,0.9334459459459459,0.5,P84634,BP
RNAi-mediated antiviral immunity against RNA virus [GO:0051214],2,1,0.8099549774887447,0.9334459459459459,0.5,P84634,BP
ta-siRNA processing [GO:0010267],3,1,0.7288784031655469,0.9334459459459459,0.333,P84634,BP
vegetative phase change [GO:0010050],1,1,0.9,0.9334459459459459,1,P84634,BP
fumarate metabolic process [GO:0006106],1,1,0.9,0.9334459459459459,1,P93033,BP
malate metabolic process [GO:0006108],1,1,0.9,0.9334459459459459,1,P93033,BP
pollen tube development [GO:0048868],5,1,0.5901615210685075,0.9334459459459459,0.2,P93033,BP
protein tetramerization [GO:0051262],2,1,0.8099549774887447,0.9334459459459459,0.5,P93033,BP
tricarboxylic acid cycle [GO:0006099],4,2,0.9478704121286554,0.9603835528828291,0.5,P93033/Q945K7,BP
cellular response to auxin stimulus [GO:0071365],6,1,0.5309974588060002,0.9334459459459459,0.167,Q38847,BP
floral organ abscission [GO:0010227],1,1,0.9,0.9334459459459459,1,Q38847,BP
fruit abscission [GO:0060867],1,1,0.9,0.9334459459459459,1,Q38847,BP
fruit dehiscence [GO:0010047],2,1,0.8099549774887447,0.9334459459459459,0.5,Q38847,BP
gibberellin catabolic process [GO:0045487],1,1,0.9,0.9334459459459459,1,Q38847,BP
negative regulation of DNA-templated transcription [GO:0045892],19,2,0.419118624448211,0.9334459459459459,0.105,Q38847/F4HNU8,BP
