Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
phosphatidylethanolamine biosynthetic process [GO:0006646],1,1,0.7650000000000001,0.8619298245614037,1,A4GNA8,BP
protein autoprocessing [GO:0016540],1,1,0.7650000000000001,0.8619298245614037,1,A4GNA8,BP
DNA repair [GO:0006281],18,6,0.7682341227503096,0.8622122775721921,0.333,F4HW51/Q9FNY7/Q9LXD7/Q9SZI2/F4I2H2/O23184,BP
maintenance of rDNA [GO:0043007],1,1,0.7650000000000001,0.8619298245614037,1,F4HW51,BP
pollen development [GO:0009555],27,5,0.20302663585033265,0.8619298245614037,0.185,F4HW51/Q2LAE1/Q8GV50/Q8VZJ9/O80483,BP
heterochromatin formation [GO:0031507],1,1,0.7650000000000001,0.8619298245614037,1,F4HZD1,BP
negative regulation of DNA methylation-dependent heterochromatin formation [GO:0090310],1,1,0.7650000000000001,0.8619298245614037,1,F4HZD1,BP
positive regulation of gene expression [GO:0010628],2,1,0.5851350675337672,0.8619298245614037,0.5,F4HZD1,BP
proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],5,2,0.6644590185996676,0.8619298245614037,0.4,F4HZD1/Q84L31,BP
regulation of regulatory ncRNA processing [GO:0070920],1,1,0.7650000000000001,0.8619298245614037,1,F4HZD1,BP
defense response [GO:0006952],51,11,0.31758152803065265,0.8619298245614037,0.216,F4IHS2/F4KHI3/O49840/Q8GXW1/Q93WF6/Q9LFL6/A0A1P8B554/Q84M95/Q945Q1/F4J078/Q9ZVF2,BP
epigenetic regulation of gene expression [GO:0040029],5,2,0.6644590185996676,0.8619298245614037,0.4,F4IHS2/Q2LAE1,BP
ethylene-activated signaling pathway [GO:0009873],25,6,0.445738933187272,0.8619298245614037,0.24,F4IHS2/O81417/P42644/Q6J9S1/Q9FFG0/Q9SZ06,BP
flower development [GO:0009908],24,6,0.4901167157365366,0.8619298245614037,0.25,F4IHS2/Q38895/Q8GXW1/Q9FRV4/Q9SAK5/Q93ZE9,BP
organ boundary specification between lateral organs and the meristem [GO:0010199],3,2,0.8604238380451487,0.9205666310621526,0.667,F4IHS2/O82268,BP
regulation of defense response to fungus [GO:1900150],7,2,0.4827772996950015,0.8619298245614037,0.286,F4IHS2/Q93WF6,BP
regulation of DNA-templated transcription [GO:0006355],82,22,0.7280103393080708,0.8619298245614037,0.268,F4IHS2/Q8GZ13/Q9C690/Q9C9L2/Q9LXD7/Q9SAK5/Q9SKD9/O23077/Q700W2/Q9FG05/Q9LE42/P49592/Q8H181/Q9C8N7/Q9LUZ4/Q9M0R0/Q9SMM8/Q9SVU7/Q944S3/Q9LQM3/Q9M160/Q9STJ7,BP
regulation of ethylene-activated signaling pathway [GO:0010104],2,2,0.9448649324662332,0.961499878460357,1,F4IHS2/Q8RWS1,BP
regulation of jasmonic acid mediated signaling pathway [GO:2000022],5,3,0.9119253360481759,0.956611332551444,0.6,F4IHS2/Q9SKD9/Q9C9A6,BP
response to wounding [GO:0009611],24,5,0.3015349989250382,0.8619298245614037,0.208,F4IHS2/Q84P21/Q8RY23/Q93WF6/Q945Q1,BP
mRNA processing [GO:0006397],23,6,0.5360305017823256,0.8619298245614037,0.261,F4JCU0/Q949S9/Q9LNC5/Q9ZUU4/Q9LFN6/Q6ICX4,BP
"mRNA splicing, via spliceosome [GO:0000398]",11,4,0.7541221706636753,0.8619298245614037,0.364,F4JCU0/O23212/Q9SHY8/Q9FE62,BP
regulation of RNA splicing [GO:0043484],3,2,0.8604238380451487,0.9205666310621526,0.667,F4JCU0/Q6ICX4,BP
abscisic acid-activated signaling pathway [GO:0009738],20,5,0.4766824250755125,0.8619298245614037,0.25,F4JNX3/O24646/Q8H1R0/Q9FNA4/Q9SSL1,BP
auxin-activated signaling pathway [GO:0009734],39,7,0.15411751968094256,0.8619298245614037,0.179,F4JNX3/Q7DMA9/Q9FNA4/Q9M1R4/Q8W4K5/Q9C8N7/Q9FJF6,BP
gravitropism [GO:0009630],6,2,0.5697519843280208,0.8619298245614037,0.333,F4JNX3/Q9M1R4,BP
methylation [GO:0032259],21,7,0.7954971354592851,0.8893565653684078,0.333,F4JNX3/Q0WPN7/Q2LAE1/Q84JF5/Q94F88/Q3EC77/Q8GYW9,BP
