Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
Phospholipid metabolism,4,1,0.6558810668445103,0.9290322580645162,0.25,A4GNA8,Pathway Enrichment
phosphatidylethanolamine biosynthesis,1,1,0.9,0.9290322580645162,1,A4GNA8,Pathway Enrichment
phosphatidylethanolamine from CDP-diacylglycerol: step 2/2,1,1,0.9,0.9290322580645162,1,A4GNA8,Pathway Enrichment
Carbohydrate metabolism,4,1,0.6558810668445103,0.9290322580645162,0.25,P93033,Pathway Enrichment
tricarboxylic acid cycle,3,1,0.7288784031655469,0.9290322580645162,0.333,P93033,Pathway Enrichment
(S)-malate from fumarate: step 1/1,1,1,0.9,0.9290322580645162,1,P93033,Pathway Enrichment
Lipid metabolism,12,3,0.8897082259397284,0.9290322580645162,0.25,Q8VZB2/Q9MAM3/P49243,Pathway Enrichment
fatty acid biosynthesis,7,3,0.9745498995092188,0.9745498995092188,0.429,Q8VZB2/Q9MAM3/P49243,Pathway Enrichment
Cofactor biosynthesis,8,2,0.8133290573288844,0.9290322580645162,0.25,Q9FGS4/Q9SBB2,Pathway Enrichment
NAD(+) biosynthesis,3,1,0.7288784031655469,0.9290322580645162,0.333,Q9FGS4,Pathway Enrichment
quinolinate from iminoaspartate: step 1/1,1,1,0.9,0.9290322580645162,1,Q9FGS4,Pathway Enrichment
tRNA modification,2,1,0.8099549774887447,0.9290322580645162,0.5,Q9FNA4,Pathway Enrichment
5-methoxycarbonylmethyl-2-thiouridine-tRNA biosynthesis,2,1,0.8099549774887447,0.9290322580645162,0.5,Q9FNA4,Pathway Enrichment
Protein modification,75,8,0.5196296131298339,0.9290322580645162,0.107,Q9XGM8/Q9SRV1/F4HPP7/Q3EBZ2/Q84TF5/O65555/Q8LED0/Q9LRQ1,Pathway Enrichment
protein glycosylation,6,2,0.8859818323810424,0.9290322580645162,0.333,Q9XGM8/Q8LED0,Pathway Enrichment
Glycan biosynthesis,6,1,0.5309974588060002,0.9290322580645162,0.167,F4JLK2,Pathway Enrichment
sucrose biosynthesis,2,1,0.8099549774887447,0.9290322580645162,0.5,F4JLK2,Pathway Enrichment
sucrose from D-fructose 6-phosphate and UDP-alpha-D-glucose: step 1/2,1,1,0.9,0.9290322580645162,1,F4JLK2,Pathway Enrichment
Glycan metabolism,17,2,0.48094154249096577,0.9290322580645162,0.118,O48711/Q8RXE1,Pathway Enrichment
pectin degradation,12,1,0.28139166379516367,0.9290322580645162,0.083,O48711,Pathway Enrichment
2-dehydro-3-deoxy-D-gluconate from pectin: step 1/5,6,1,0.5309974588060002,0.9290322580645162,0.167,O48711,Pathway Enrichment
Steroid biosynthesis,3,1,0.7288784031655469,0.9290322580645162,0.333,O64697,Pathway Enrichment
sterol biosynthesis,2,1,0.8099549774887447,0.9290322580645162,0.5,O64697,Pathway Enrichment
pectin biosynthesis,2,1,0.8099549774887447,0.9290322580645162,0.5,Q8RXE1,Pathway Enrichment
Carbohydrate degradation,8,2,0.8133290573288844,0.9290322580645162,0.25,Q9M0F9/Q9LM13,Pathway Enrichment
glycolysis,8,2,0.8133290573288844,0.9290322580645162,0.25,Q9M0F9/Q9LM13,Pathway Enrichment
D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 3/4,4,1,0.6558810668445103,0.9290322580645162,0.25,Q9M0F9,Pathway Enrichment
ubiquinone biosynthesis,1,1,0.9,0.9290322580645162,1,Q9SBB2,Pathway Enrichment
protein ubiquitination,68,6,0.30998748499203765,0.9290322580645162,0.088,Q9SRV1/F4HPP7/Q3EBZ2/Q84TF5/O65555/Q9LRQ1,Pathway Enrichment
pyruvate from D-glyceraldehyde 3-phosphate: step 3/5,1,1,0.9,0.9290322580645162,1,Q9LM13,Pathway Enrichment
Amino-acid degradation,4,1,0.6558810668445103,0.9290322580645162,0.25,Q6NMB0,Pathway Enrichment
L-valine degradation,2,1,0.8099549774887447,0.9290322580645162,0.5,Q6NMB0,Pathway Enrichment
