Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
Phospholipid metabolism,4,2,0.763445545579071,0.8762727272727274,0.5,A4GNA8/Q9SYC8,Pathway Enrichment
phosphatidylethanolamine biosynthesis,1,1,0.7650000000000001,0.8762727272727274,1,A4GNA8,Pathway Enrichment
phosphatidylethanolamine from CDP-diacylglycerol: step 2/2,1,1,0.7650000000000001,0.8762727272727274,1,A4GNA8,Pathway Enrichment
Metabolic intermediate biosynthesis,4,2,0.763445545579071,0.8762727272727274,0.5,P43256/Q8S4Y1,Pathway Enrichment
(R)-mevalonate biosynthesis,2,2,0.9448649324662332,0.9747347010366404,1,P43256/Q8S4Y1,Pathway Enrichment
(R)-mevalonate from acetyl-CoA: step 3/3,1,1,0.7650000000000001,0.8762727272727274,1,P43256,Pathway Enrichment
Carbohydrate metabolism,4,1,0.3421723945110777,0.8762727272727274,0.25,P93033,Pathway Enrichment
tricarboxylic acid cycle,3,1,0.44749068227807576,0.8762727272727274,0.333,P93033,Pathway Enrichment
(S)-malate from fumarate: step 1/1,1,1,0.7650000000000001,0.8762727272727274,1,P93033,Pathway Enrichment
Protein modification,75,19,0.6041346687319566,0.8762727272727274,0.253,Q0WX00/Q8VZS9/Q93Z16/Q9LFU0/Q9XGM8/Q500V2/Q9C9A6/Q9SRV1/F4HPP7/Q3EBZ2/Q6IDS6/Q84TF5/Q8GW10/Q8GY87/Q9C7R6/O65555/Q8LED0/Q9LRQ1/Q9LYW0,Pathway Enrichment
protein ubiquitination,68,16,0.45394195159449313,0.8762727272727274,0.235,Q0WX00/Q8VZS9/Q9LFU0/Q500V2/Q9C9A6/Q9SRV1/F4HPP7/Q3EBZ2/Q6IDS6/Q84TF5/Q8GW10/Q8GY87/Q9C7R6/O65555/Q9LRQ1/Q9LYW0,Pathway Enrichment
Glycan metabolism,17,6,0.8101635882347024,0.9114340367640401,0.353,Q1JPL7/O48711/Q8RXE1/Q9FM96/Q9LFP5/Q9SVQ6,Pathway Enrichment
pectin degradation,12,4,0.6949813629177926,0.8762727272727274,0.333,Q1JPL7/O48711/Q9LFP5/Q9SVQ6,Pathway Enrichment
2-dehydro-3-deoxy-D-gluconate from pectin: step 1/5,6,2,0.5697519843280208,0.8762727272727274,0.333,Q1JPL7/O48711,Pathway Enrichment
Cofactor biosynthesis,8,3,0.7157062406025481,0.8762727272727274,0.375,Q8LPN3/Q9FGS4/Q9SBB2,Pathway Enrichment
tetrahydrofolate biosynthesis,3,1,0.44749068227807576,0.8762727272727274,0.333,Q8LPN3,Pathway Enrichment
4-aminobenzoate from chorismate: step 1/2,1,1,0.7650000000000001,0.8762727272727274,1,Q8LPN3,Pathway Enrichment
(R)-mevalonate from acetyl-CoA: step 1/3,1,1,0.7650000000000001,0.8762727272727274,1,Q8S4Y1,Pathway Enrichment
Pyrimidine metabolism,3,2,0.8604238380451487,0.9187576575736334,0.667,Q8VYB2/Q9S750,Pathway Enrichment
UMP biosynthesis via salvage pathway,1,1,0.7650000000000001,0.8762727272727274,1,Q8VYB2,Pathway Enrichment
UMP from uracil: step 1/1,1,1,0.7650000000000001,0.8762727272727274,1,Q8VYB2,Pathway Enrichment
